code,name,listing_board
BEER,Jobubu Jarum Minahasa Tbk.,Pengembangan
BEKS,Bank Pembangunan Daerah Banten,Pemantauan Khusus
BELI,Global Digital Niaga Tbk.,Ekonomi Baru
BELL,Trisula Textile Industries Tbk,Pemantauan Khusus
BESS,Batulicin Nusantara Maritim Tb,Pengembangan
BEST,Bekasi Fajar Industrial Estate,Utama
BFIN,BFI Finance  Indonesia Tbk.,Utama
BGTG,Bank Ganesha Tbk.,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,Pengembangan
BHIT,MNC Asia Holding Tbk.,Pemantauan Khusus
BIKA,Binakarya Jaya Abadi Tbk.,Pemantauan Khusus
BIKE,Sepeda Bersama Indonesia Tbk.,Pengembangan
BIMA,Primarindo Asia Infrastructure,Pengembangan
BINA,Bank Ina Perdana Tbk.,Utama
BINO,Perma Plasindo Tbk.,Pengembangan
BIPI,Astrindo Nusantara Infrastrukt,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,Pemantauan Khusus
BIRD,Blue Bird Tbk.,Utama
BISI,BISI International Tbk.,Utama
BJBR,Bank Pembangunan Daerah Jawa B,Utama
BJTM,Bank Pembangunan Daerah Jawa T,Utama
BKDP,Bukit Darmo Property Tbk,Pemantauan Khusus
BKSL,Sentul City Tbk.,Pemantauan Khusus
BKSW,Bank QNB Indonesia Tbk.,Pengembangan
BLES,Superior Prima Sukses Tbk.,Utama
BLTA,Berlian Laju Tanker Tbk,Pemantauan Khusus
BLTZ,Graha Layar Prima Tbk.,Pemantauan Khusus
BLUE,Berkah Prima Perkasa Tbk.,Pengembangan
BMAS,Bank Maspion Indonesia Tbk.,Pemantauan Khusus
BMBL,Lavender Bina Cendikia Tbk.,Akselerasi
BMHS,Bundamedik Tbk.,Utama
BMRI,Bank Mandiri (Persero) Tbk.,Utama
BMSR,Bintang Mitra Semestaraya Tbk,Pengembangan
BMTR,Global Mediacom Tbk.,Utama
BNBA,Bank Bumi Arta Tbk.,Pengembangan
BNBR,Bakrie & Brothers Tbk,Pemantauan Khusus
BNGA,Bank CIMB Niaga Tbk.,Utama
BNII,Bank Maybank Indonesia Tbk.,Utama
BNLI,Bank Permata Tbk.,Pengembangan
BOAT,Newport Marine Services Tbk.,Pengembangan
BOBA,Formosa Ingredient Factory Tbk,Pengembangan
BOGA,Bintang Oto Global Tbk.,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,Utama
BOLT,Garuda Metalindo Tbk.,Pengembangan
BOSS,Borneo Olah Sarana Sukses Tbk.,Pemantauan Khusus
BPFI,Woori Finance Indonesia Tbk.,Pengembangan
BPII,Batavia Prosperindo Internasio,Pengembangan
BPTR,Batavia Prosperindo Trans Tbk.,Pengembangan
BRAM,Indo Kordsa Tbk.,Pengembangan
BREN,Barito Renewables Energy Tbk.,Utama
BRIS,Bank Syariah Indonesia Tbk.,Utama
BRMS,Bumi Resources Minerals Tbk.,Utama
BRNA,Berlina Tbk.,Pengembangan
BRPT,Barito Pacific Tbk.,Utama
BRRC,Raja Roti Cemerlang Tbk.,Pengembangan
BSBK,Wulandari Bangun Laksana Tbk.,Utama
BSDE,Bumi Serpong Damai Tbk.,Utama
BSIM,Bank Sinarmas Tbk.,Utama
BSML,Bintang Samudera Mandiri Lines,Pengembangan
BSSR,Baramulti Suksessarana Tbk.,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,Pengembangan
BTEK,Bumi Teknokultura Unggul Tbk,Pemantauan Khusus
BTEL,Bakrie Telecom Tbk.,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk.,Pemantauan Khusus
BTPN,Bank SMBC Indonesia Tbk.,Utama
BTPS,Bank BTPN Syariah Tbk.,Utama
BUAH,Segar Kumala Indonesia Tbk.,Pengembangan
BUDI,Budi Starch & Sweetener Tbk.,Utama
BUKA,Bukalapak.com Tbk.,Ekonomi Baru
BUKK,Bukaka Teknik Utama Tbk.,Pengembangan
BULL,Buana Lintas Lautan Tbk.,Pengembangan
BUMI,Bumi Resources Tbk.,Utama
BUVA,Bukit Uluwatu Villa Tbk.,Pengembangan
BVIC,Bank Victoria International Tb,Utama
BWPT,Eagle High Plantations Tbk.,Utama
BYAN,Bayan Resources Tbk.,Utama
CAKK,Cahayaputra Asa Keramik Tbk.,Pengembangan
CAMP,Campina Ice Cream Industry Tbk,Pengembangan
CANI,Capitol Nusantara Indonesia Tb,Pemantauan Khusus
CARE,Metro Healthcare Indonesia Tbk,Pengembangan
CARS,Industri dan Perdagangan Bintr,Utama
CASA,Capital Financial Indonesia Tb,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,Akselerasi
CASS,Cardig Aero Services Tbk.,Utama
CBDK,Bangun Kosambi Sukses Tbk.,Utama
CBMF,Cahaya Bintang Medan Tbk.,Pemantauan Khusus
CBPE,Citra Buana Prasida Tbk.,Pengembangan
CBRE,Cakra Buana Resources Energi T,Pemantauan Khusus
CBUT,Citra Borneo Utama Tbk.,Pemantauan Khusus
CCSI,Communication Cable Systems In,Pengembangan
CEKA,Wilmar Cahaya Indonesia Tbk.,Pengembangan
CENT,Centratama Telekomunikasi Indo,Pemantauan Khusus
CFIN,Clipan Finance Indonesia Tbk.,Utama
CGAS,Citra Nusantara Gemilang Tbk.,Pengembangan
CHEM,Chemstar Indonesia Tbk.,Pengembangan
CHIP,Pelita Teknologi Global Tbk.,Akselerasi
CINT,Chitose Internasional Tbk.,Pengembangan
CITA,Cita Mineral Investindo Tbk.,Pengembangan
CITY,Natura City Developments Tbk.,Pengembangan
CLAY,Citra Putra Realty Tbk.,Pemantauan Khusus
CLEO,Sariguna Primatirta Tbk.,Utama
CLPI,Colorpak Indonesia Tbk.,Pengembangan
CMNP,Citra Marga Nusaphala Persada,Utama
CMNT,Cemindo Gemilang Tbk.,Pengembangan
CMPP,AirAsia Indonesia Tbk.,Pemantauan Khusus
CMRY,Cisarua Mountain Dairy Tbk.,Utama
CNKO,Exploitasi Energi Indonesia Tb,Pemantauan Khusus
CNMA,Nusantara Sejahtera Raya Tbk.,Utama
CNTX,Century Textile Industry Tbk.,Pemantauan Khusus
COAL,Black Diamond Resources Tbk.,Pemantauan Khusus
COCO,Wahana Interfood Nusantara Tbk,Pengembangan
COWL,Cowell Development Tbk.,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,Utama
CPRI,Capri Nusa Satu Properti Tbk.,Pemantauan Khusus
CPRO,Central Proteina Prima Tbk.,Pengembangan
CRAB,Toba Surimi Industries Tbk.,Pengembangan
CRSN,Carsurin Tbk.,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,Pengembangan
CSIS,Cahayasakti Investindo Sukses,Pemantauan Khusus
CSMI,Cipta Selera Murni Tbk.,Pemantauan Khusus
CSRA,Cisadane Sawit Raya Tbk.,Pengembangan
CTBN,Citra Tubindo Tbk.,Pemantauan Khusus
CTRA,Ciputra Development Tbk.,Utama
CTTH,Citatah Tbk.,Pemantauan Khusus
CUAN,Petrindo Jaya Kreasi Tbk.,Utama
CYBR,ITSEC Asia Tbk.,Pengembangan
DAAZ,Daaz Bara Lestari Tbk.,Utama
DADA,Diamond Citra Propertindo Tbk.,Pemantauan Khusus
DART,Duta Anggada Realty Tbk.,Pengembangan
DATA,Remala Abadi Tbk.,Pengembangan
DAYA,Duta Intidaya Tbk.,Pengembangan
DCII,DCI Indonesia Tbk.,Pengembangan
DEAL,Dewata Freightinternational Tb,Pemantauan Khusus
DEFI,Danasupra Erapacific Tbk.,Pemantauan Khusus
DEPO,Caturkarda Depo Bangunan Tbk.,Pengembangan
DEWA,Darma Henwa Tbk,Utama
DEWI,Dewi Shri Farmindo Tbk.,Pengembangan
DFAM,Dafam Property Indonesia Tbk.,Pengembangan
DGIK,Nusa Konstruksi Enjiniring Tbk,Pengembangan
DGNS,Diagnos Laboratorium Utama Tbk,Pengembangan
DGWG,Delta Giri Wacana Tbk.,Utama
DIGI,Arkadia Digital Media Tbk.,Pemantauan Khusus
DILD,Intiland Development Tbk.,Utama
DIVA,Distribusi Voucher Nusantara T,Pengembangan
DKFT,Central Omega Resources Tbk.,Pengembangan
DLTA,Delta Djakarta Tbk.,Utama
DMAS,Puradelta Lestari Tbk.,Utama
DMMX,Digital Mediatama Maxima Tbk.,Pengembangan
DMND,Diamond Food Indonesia Tbk.,Pemantauan Khusus
DNAR,Bank Oke Indonesia Tbk.,Pengembangan
DNET,Indoritel Makmur Internasional,Pengembangan
DOID,Delta Dunia Makmur Tbk.,Utama
DOOH,Era Media Sejahtera Tbk.,Pengembangan
DOSS,Global Sukses Digital Tbk.,Pengembangan
DPNS,Duta Pertiwi Nusantara Tbk.,Pengembangan
DPUM,Dua Putra Utama Makmur Tbk.,Pengembangan
DRMA,Dharma Polimetal Tbk.,Utama
DSFI,Dharma Samudera Fishing Indust,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,Utama
DSSA,Dian Swastatika Sentosa Tbk,Utama
DUCK,Jaya Bersama Indo Tbk.,Pemantauan Khusus
DUTI,Duta Pertiwi Tbk,Pemantauan Khusus
DVLA,Darya-Varia Laboratoria Tbk.,Pengembangan
DWGL,Dwi Guna Laksana Tbk.,Pengembangan
DYAN,Dyandra Media International Tb,Pengembangan
EAST,Eastparc Hotel Tbk.,Pengembangan
ECII,Electronic City Indonesia Tbk.,Pengembangan
EDGE,Indointernet Tbk.,Pengembangan
EKAD,Ekadharma International Tbk.,Pengembangan
ELIT,Data Sinergitama Jaya Tbk.,Pengembangan
ELPI,Pelayaran Nasional Ekalya Purn,Utama
ELSA,Elnusa Tbk.,Utama
ELTY,Bakrieland Development Tbk.,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,Utama
ENAK,Champ Resto Indonesia Tbk.,Pengembangan
ENRG,Energi Mega Persada Tbk.,Utama
ENVY,Envy Technologies Indonesia Tb,Pemantauan Khusus
ENZO,Morenzo Abadi Perkasa Tbk.,Pemantauan Khusus
EPAC,Megalestari Epack Sentosaraya,Pemantauan Khusus
EPMT,Enseval Putera Megatrading Tbk,Pengembangan
ERAA,Erajaya Swasembada Tbk.,Utama
ERAL,Sinar Eka Selaras Tbk.,Utama
ERTX,Eratex Djaja Tbk.,Pengembangan
ESIP,Sinergi Inti Plastindo Tbk.,Pemantauan Khusus
ESSA,ESSA Industries Indonesia Tbk.,Utama
ESTA,Esta Multi Usaha Tbk.,Pengembangan
ESTI,Ever Shine Tex Tbk.,Pemantauan Khusus
ETWA,Eterindo Wahanatama Tbk,Pemantauan Khusus
EURO,Estee Gold Feet Tbk.,Akselerasi
EXCL,XL Axiata Tbk.,Utama
FAPA,FAP Agri Tbk.,Pengembangan
FAST,Fast Food Indonesia Tbk.,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,Pemantauan Khusus
FILM,MD Entertainment Tbk.,Utama
FIMP,Fimperkasa Utama Tbk.,Pemantauan Khusus
FIRE,Alfa Energi Investama Tbk.,Pengembangan
FISH,FKS Multi Agro Tbk.,Pemantauan Khusus
FITT,Hotel Fitra International Tbk.,Pengembangan
FLMC,Falmaco Nonwoven Industri Tbk.,Akselerasi
FMII,Fortune Mate Indonesia Tbk,Pengembangan
FOLK,Multi Garam Utama Tbk.,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,Pengembangan
FORU,Fortune Indonesia Tbk,Pengembangan
FORZ,Forza Land Indonesia Tbk.,Pemantauan Khusus
FPNI,Lotte Chemical Titan Tbk.,Pengembangan
FREN,Smartfren Telecom Tbk.,Pemantauan Khusus
FUJI,Fuji Finance Indonesia Tbk.,Pengembangan
FUTR,Lini Imaji Kreasi Ekosistem Tb,Pengembangan
FWCT,Wijaya Cahaya Timber Tbk.,Pengembangan
GAMA,Aksara Global Development Tbk.,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk.,Pemantauan Khusus
GDYR,Goodyear Indonesia Tbk.,Pengembangan
GEMA,Gema Grahasarana Tbk.,Pengembangan
GEMS,Golden Energy Mines Tbk.,Utama
GGRM,Gudang Garam Tbk.,Utama
GGRP,Gunung Raja Paksi Tbk.,Pemantauan Khusus
GHON,Gihon Telekomunikasi Indonesia,Pengembangan
GIAA,Garuda Indonesia (Persero) Tbk,Pemantauan Khusus
GJTL,Gajah Tunggal Tbk.,Utama
GLOB,Globe Kita Terang Tbk.,Pemantauan Khusus
GLVA,Galva Technologies Tbk.,Pengembangan
GMFI,Garuda Maintenance Facility Ae,Pemantauan Khusus
GMTD,Gowa Makassar Tourism Developm,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,Pengembangan
GOLF,Intra Golflink Resorts Tbk.,Utama
GOLL,Golden Plantation Tbk.,Pemantauan Khusus
GOOD,Garudafood Putra Putri Jaya Tb,Utama
GOTO,GoTo Gojek Tokopedia Tbk.,Ekonomi Baru
GPRA,Perdana Gapuraprima Tbk.,Pengembangan
GPSO,Geoprima Solusi Tbk.,Pengembangan
GRIA,Ingria Pratama Capitalindo Tbk,Pengembangan
GRPH,Griptha Putra Persada Tbk.,Pengembangan
GRPM,Graha Prima Mentari Tbk.,Akselerasi
GSMF,Equity Development Investment,Pengembangan
GTBO,Garda Tujuh Buana Tbk,Pengembangan
