code,name,listing_board
KOKA,Koka Indonesia Tbk.,Pemantauan Khusus
KONI,Perdana Bangun Pusaka Tbk,Pengembangan
KOPI,Mitra Energi Persada Tbk.,Pengembangan
KOTA,DMS Propertindo Tbk.,Pemantauan Khusus
KPAL,Steadfast Marine Tbk.,Pemantauan Khusus
KPAS,Cottonindo Ariesta Tbk.,Pemantauan Khusus
KPIG,MNC Land Tbk.,Pengembangan
KRAH,Grand Kartech Tbk.,Pemantauan Khusus
KRAS,Krakatau Steel (Persero) Tbk.,Pengembangan
KREN,Quantum Clovera Investama Tbk.,Pemantauan Khusus
KRYA,Bangun Karya Perkasa Jaya Tbk.,Pengembangan
KSIX,Kentanix Supra International T,Utama
KUAS,Ace Oldfields Tbk.,Pengembangan
LABA,Green Power Group Tbk.,Pengembangan
LABS,UBC Medical Indonesia Tbk.,Pengembangan
LAJU,Jasa Berdikari Logistics Tbk.,Pengembangan
LAND,Trimitra Propertindo Tbk.,Pemantauan Khusus
LAPD,Leyand International Tbk.,Pemantauan Khusus
LCGP,Eureka Prima Jakarta Tbk.,Pemantauan Khusus
LCKM,LCK Global Kedaton Tbk.,Pengembangan
LEAD,Logindo Samudramakmur Tbk.,Pengembangan
LFLO,Imago Mulia Persada Tbk.,Akselerasi
LIFE,MSIG Life Insurance Indonesia,Pengembangan
LINK,Link Net Tbk.,Pemantauan Khusus
LION,Lion Metal Works Tbk.,Utama
LIVE,Homeco Victoria Makmur Tbk.,Pengembangan
LMAS,Limas Indonesia Makmur Tbk,Pemantauan Khusus
LMAX,Lupromax Pelumas Indonesia Tbk,Akselerasi
LMPI,Langgeng Makmur Industri Tbk.,Pengembangan
LMSH,Lionmesh Prima Tbk.,Pemantauan Khusus
LOPI,Logisticsplus International Tb,Akselerasi
LPCK,Lippo Cikarang Tbk,Utama
LPGI,Lippo General Insurance Tbk.,Pemantauan Khusus
LPIN,Multi Prima Sejahtera Tbk,Pengembangan
LPKR,Lippo Karawaci Tbk.,Utama
LPLI,Star Pacific Tbk,Pengembangan
LPPF,Matahari Department Store Tbk.,Utama
LPPS,Lenox Pasifik Investama Tbk.,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,Utama
LTLS,Lautan Luas Tbk.,Utama
LUCK,Sentral Mitra Informatika Tbk.,Pengembangan
LUCY,Lima Dua Lima Tiga Tbk.,Akselerasi
MABA,Marga Abhinaya Abadi Tbk.,Pemantauan Khusus
MAGP,Multi Agro Gemilang Plantation,Pemantauan Khusus
MAHA,Mandiri Herindo Adiperkasa Tbk,Utama
MAIN,Malindo Feedmill Tbk.,Utama
MAMI,Mas Murni Indonesia Tbk,Pemantauan Khusus
MANG,Manggung Polahraya Tbk.,Akselerasi
MAPA,Map Aktif Adiperkasa Tbk.,Utama
MAPB,MAP Boga Adiperkasa Tbk.,Pemantauan Khusus
MAPI,Mitra Adiperkasa Tbk.,Utama
MARI,Mahaka Radio Integra Tbk.,Pengembangan
MARK,Mark Dynamics Indonesia Tbk.,Utama
MASA,Multistrada Arah Sarana Tbk.,Pengembangan
MASB,Bank Multiarta Sentosa Tbk.,Pengembangan
MAXI,Maxindo Karya Anugerah Tbk.,Pengembangan
MAYA,Bank Mayapada Internasional Tb,Utama
MBAP,Mitrabara Adiperdana Tbk.,Pengembangan
MBMA,Merdeka Battery Materials Tbk.,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,Utama
MBTO,Martina Berto Tbk.,Pengembangan
MCAS,M Cash Integrasi Tbk.,Utama
MCOL,Prima Andalan Mandiri Tbk.,Utama
MCOR,Bank China Construction Bank I,Utama
MDIA,Intermedia Capital Tbk.,Pemantauan Khusus
MDIY,Daya Intiguna Yasa Tbk.,Utama
MDKA,Merdeka Copper Gold Tbk.,Utama
MDKI,Emdeki Utama Tbk.,Pengembangan
MDLN,Modernland Realty Tbk.,Utama
MDRN,Modern Internasional Tbk.,Pemantauan Khusus
MEDC,Medco Energi Internasional Tbk,Utama
MEDS,Hetzer Medical Indonesia Tbk.,Pengembangan
MEGA,Bank Mega Tbk.,Utama
MEJA,Harta Djaya Karya Tbk.,Akselerasi
MENN,Menn Teknologi Indonesia Tbk.,Akselerasi
MERK,Merck Tbk.,Pengembangan
META,Nusantara Infrastructure Tbk.,Pemantauan Khusus
MFIN,Mandala Multifinance Tbk.,Utama
MFMI,Multifiling Mitra Indonesia Tb,Pemantauan Khusus
MGLV,Panca Anugrah Wisesa Tbk.,Akselerasi
MGNA,Magna Investama Mandiri Tbk.,Pemantauan Khusus
MGRO,Mahkota Group Tbk.,Pengembangan
MHKI,Multi Hanna Kreasindo Tbk.,Pengembangan
MICE,Multi Indocitra Tbk.,Pengembangan
MIDI,Midi Utama Indonesia Tbk.,Pengembangan
MIKA,Mitra Keluarga Karyasehat Tbk.,Utama
MINA,Sanurhasta Mitra Tbk.,Pemantauan Khusus
MIRA,Mitra International Resources,Pemantauan Khusus
MITI,Mitra Investindo Tbk.,Pengembangan
MKAP,Multikarya Asia Pasifik Raya T,Pengembangan
MKNT,Mitra Komunikasi Nusantara Tbk,Pemantauan Khusus
MKPI,Metropolitan Kentjana Tbk.,Pengembangan
MKTR,Menthobi Karyatama Raya Tbk.,Utama
MLBI,Multi Bintang Indonesia Tbk.,Utama
MLIA,Mulia Industrindo Tbk,Utama
MLPL,Multipolar Tbk.,Utama
MLPT,Multipolar Technology Tbk.,Pengembangan
MMIX,Multi Medika Internasional Tbk,Pengembangan
MMLP,Mega Manunggal Property Tbk.,Utama
MNCN,Media Nusantara Citra Tbk.,Utama
MOLI,Madusari Murni Indah Tbk.,Pengembangan
MORA,Mora Telematika Indonesia Tbk.,Utama
MPIX,Mitra Pedagang Indonesia Tbk.,Pengembangan
MPMX,Mitra Pinasthika Mustika Tbk.,Utama
MPOW,Megapower Makmur Tbk.,Pengembangan
MPPA,Matahari Putra Prima Tbk.,Utama
MPRO,Maha Properti Indonesia Tbk.,Pengembangan
MPXL,MPX Logistics International Tb,Pengembangan
MRAT,Mustika Ratu Tbk.,Pengembangan
MREI,Maskapai Reasuransi Indonesia,Pengembangan
MSIE,Multisarana Intan Eduka Tbk.,Akselerasi
MSIN,MNC Digital Entertainment Tbk.,Utama
MSJA,Multi Spunindo Jaya Tbk.,Utama
MSKY,MNC Sky Vision Tbk.,Pengembangan
MSTI,Mastersystem Infotama Tbk.,Utama
MTDL,Metrodata Electronics Tbk.,Utama
MTEL,Dayamitra Telekomunikasi Tbk.,Utama
MTFN,Capitalinc Investment Tbk.,Pemantauan Khusus
MTLA,Metropolitan Land Tbk.,Utama
MTMH,Murni Sadar Tbk.,Utama
MTPS,Meta Epsi Tbk.,Pemantauan Khusus
MTRA,Mitra Pemuda Tbk.,Pemantauan Khusus
MTSM,Metro Realty Tbk.,Pemantauan Khusus
MTWI,Malacca Trust Wuwungan Insuran,Pengembangan
MUTU,Mutuagung Lestari Tbk.,Pengembangan
MYOH,Samindo Resources Tbk.,Utama
MYOR,Mayora Indah Tbk.,Utama
MYRX,Hanson International Tbk.,Pemantauan Khusus
MYTX,Asia Pacific Investama Tbk.,Pemantauan Khusus
NAIK,Adiwarna Anugerah Abadi Tbk.,Pengembangan
NANO,Nanotech Indonesia Global Tbk.,Akselerasi
NASA,Andalan Perkasa Abadi Tbk.,Pemantauan Khusus
NASI,Wahana Inti Makmur Tbk.,Pengembangan
NATO,Surya Permata Andalan Tbk.,Pengembangan
NAYZ,Hassana Boga Sejahtera Tbk.,Akselerasi
NCKL,Trimegah Bangun Persada Tbk.,Utama
NELY,Pelayaran Nelly Dwi Putri Tbk.,Pengembangan
NEST,Esta Indonesia Tbk.,Pengembangan
NETV,MDTV Media Technologies Tbk.,Pemantauan Khusus
NFCX,NFC Indonesia Tbk.,Pengembangan
NICE,Adhi Kartiko Pratama Tbk.,Pengembangan
NICK,Charnic Capital Tbk.,Pengembangan
NICL,PAM Mineral Tbk.,Pengembangan
NIKL,Pelat Timah Nusantara Tbk.,Pengembangan
NINE,Techno9 Indonesia Tbk.,Akselerasi
NIPS,Nipress Tbk.,Pemantauan Khusus
NIRO,City Retail Developments Tbk.,Pengembangan
NISP,Bank OCBC NISP Tbk.,Utama
NOBU,Bank Nationalnobu Tbk.,Pengembangan
NPGF,Nusa Palapa Gemilang Tbk.,Pemantauan Khusus
NRCA,Nusa Raya Cipta Tbk.,Pengembangan
NSSS,Nusantara Sawit Sejahtera Tbk.,Pengembangan
NTBK,Nusatama Berkah Tbk.,Pengembangan
NUSA,Sinergi Megah Internusa Tbk.,Pemantauan Khusus
NZIA,Nusantara Almazia Tbk.,Pengembangan
OASA,Maharaksa Biru Energi Tbk.,Pengembangan
OBAT,Brigit Biofarmaka Teknologi Tb,Pengembangan
OBMD,OBM Drilchem Tbk.,Pengembangan
OCAP,Onix Capital Tbk.,Pemantauan Khusus
OILS,Indo Oil Perkasa Tbk.,Pengembangan
OKAS,Ancora Indonesia Resources Tbk,Pengembangan
OLIV,Oscar Mitra Sukses Sejahtera T,Akselerasi
OMED,Jayamas Medica Industri Tbk.,Utama
OMRE,Indonesia Prima Property Tbk,Pemantauan Khusus
OPMS,Optima Prima Metal Sinergi Tbk,Pengembangan
PACK,Abadi Nusantara Hijau Investam,Akselerasi
PADA,Personel Alih Daya Tbk.,Pemantauan Khusus
PADI,Minna Padi Investama Sekuritas,Pemantauan Khusus
PALM,Provident Investasi Bersama Tb,Pengembangan
PAMG,Bima Sakti Pertiwi Tbk.,Pengembangan
PANI,Pantai Indah Kapuk Dua Tbk.,Pengembangan
PANR,Panorama Sentrawisata Tbk.,Utama
PANS,Panin Sekuritas Tbk.,Utama
PART,Cipta Perdana Lancar Tbk.,Pengembangan
PBID,Panca Budi Idaman Tbk.,Utama
PBRX,Pan Brothers Tbk.,Pemantauan Khusus
PBSA,Paramita Bangun Sarana Tbk.,Pengembangan
PCAR,Prima Cakrawala Abadi Tbk.,Pengembangan
PDES,Destinasi Tirta Nusantara Tbk,Pengembangan
PDPP,Primadaya Plastisindo Tbk.,Pengembangan
PEGE,Panca Global Kapital Tbk.,Pengembangan
PEHA,Phapros Tbk.,Pengembangan
PEVE,Penta Valent Tbk.,Pengembangan
PGAS,Perusahaan Gas Negara Tbk.,Utama
PGEO,Pertamina Geothermal Energy Tb,Utama
PGJO,Tourindo Guide Indonesia Tbk.,Akselerasi
PGLI,Pembangunan Graha Lestari Inda,Pengembangan
PGUN,Pradiksi Gunatama Tbk.,Pemantauan Khusus
PICO,Pelangi Indah Canindo Tbk,Pengembangan
PIPA,Multi Makmur Lemindo Tbk.,Pemantauan Khusus
PJAA,Pembangunan Jaya Ancol Tbk.,Pengembangan
PKPK,Perdana Karya Perkasa Tbk,Pengembangan
PLAN,Planet Properindo Jaya Tbk.,Akselerasi
PLAS,Polaris Investama Tbk,Pemantauan Khusus
PLIN,Plaza Indonesia Realty Tbk.,Pemantauan Khusus
PMJS,Putra Mandiri Jembar Tbk.,Pengembangan
PMMP,Panca Mitra Multiperdana Tbk.,Pengembangan
PNBN,Bank Pan Indonesia Tbk,Utama
PNBS,Bank Panin Dubai Syariah Tbk.,Pengembangan
PNGO,Pinago Utama Tbk.,Pengembangan
PNIN,Paninvest Tbk.,Utama
PNLF,Panin Financial Tbk.,Utama
PNSE,Pudjiadi & Sons Tbk.,Pengembangan
POLA,Pool Advista Finance Tbk.,Pemantauan Khusus
POLI,Pollux Hotels Group Tbk.,Pemantauan Khusus
POLL,Pollux Properties Indonesia Tb,Pemantauan Khusus
POLU,Golden Flower Tbk.,Pengembangan
POLY,Asia Pacific Fibers Tbk,Pemantauan Khusus
POOL,Pool Advista Indonesia Tbk.,Pemantauan Khusus
PORT,Nusantara Pelabuhan Handal Tbk,Pengembangan
POSA,Bliss Properti Indonesia Tbk.,Pemantauan Khusus
POWR,Cikarang Listrindo Tbk.,Utama
PPGL,Prima Globalindo Logistik Tbk.,Akselerasi
PPRE,PP Presisi Tbk.,Pengembangan
PPRI,Paperocks Indonesia Tbk.,Pengembangan
PPRO,PP Properti Tbk.,Pemantauan Khusus
PRAS,Prima Alloy Steel Universal Tb,Pemantauan Khusus
PRAY,Famon Awal Bros Sedaya Tbk.,Pengembangan
PRDA,Prodia Widyahusada Tbk.,Utama
PRIM,Royal Prima Tbk.,Pengembangan
PSAB,J Resources Asia Pasifik Tbk.,Pengembangan
PSDN,Prasidha Aneka Niaga Tbk,Pengembangan
PSGO,Palma Serasih Tbk.,Utama
PSKT,Red Planet Indonesia Tbk.,Pemantauan Khusus
PSSI,IMC Pelita Logistik Tbk.,Utama
PTBA,Bukit Asam Tbk.,Utama
PTDU,Djasa Ubersakti Tbk.,Pemantauan Khusus
PTIS,Indo Straits Tbk.,Pengembangan
PTMP,Mitra Pack Tbk.,Pengembangan
PTMR,Master Print Tbk.,Pengembangan
PTPP,PP (Persero) Tbk.,Utama
PTPS,Pulau Subur Tbk.,Pengembangan
PTPW,Pratama Widya Tbk.,Pengembangan
PTRO,Petrosea Tbk.,Utama
PTSN,Sat Nusapersada Tbk,Pengembangan
PTSP,Pioneerindo Gourmet Internatio,Pengembangan
PUDP,Pudjiadi Prestige Tbk.,Utama
PURA,Putra Rajawali Kencana Tbk.,Pemantauan Khusus
PURE,Trinitan Metals and Minerals T,Pemantauan Khusus
PURI,Puri Global Sukses Tbk.,Pengembangan
PWON,Pakuwon Jati Tbk.,Utama
PYFA,Pyridam Farma Tbk,Pengembangan
PZZA,Sarimelati Kencana Tbk.,Pengembangan
RAAM,Tripar Multivision Plus Tbk.,Utama
RAFI,Sari Kreasi Boga Tbk.,Pemantauan Khusus
RAJA,Rukun Raharja Tbk.,Utama
RALS,Ramayana Lestari Sentosa Tbk.,Utama
RANC,Supra Boga Lestari Tbk.,Pengembangan
RATU,Raharja Energi Cepu Tbk.,Pengembangan
RBMS,Ristia Bintang Mahkotasejati T,Pemantauan Khusus
RCCC,Utama Radar Cahaya Tbk.,Akselerasi
RDTX,Roda Vivatex Tbk,Pengembangan
REAL,Repower Asia Indonesia Tbk.,Pemantauan Khusus
RELF,Graha Mitra Asia Tbk.,Akselerasi
RELI,Reliance Sekuritas Indonesia T,Pengembangan
RGAS,Kian Santang Muliatama Tbk.,Pengembangan
RICY,Ricky Putra Globalindo Tbk,Pengembangan
RIGS,Rig Tenders Indonesia Tbk.,Pengembangan
RIMO,Rimo International Lestari Tbk,Pemantauan Khusus
RISE,Jaya Sukses Makmur Sentosa Tbk,Pengembangan
RMKE,RMK Energy Tbk.,Utama
RMKO,Royaltama Mulia Kontraktorindo,Pengembangan
ROCK,Rockfields Properti Indonesia,Pemantauan Khusus
RODA,Pikko Land Development Tbk.,Pemantauan Khusus
RONY,Aesler Grup Internasional Tbk.,Pengembangan
ROTI,Nippon Indosari Corpindo Tbk.,Pengembangan
RSCH,Charlie Hospital Semarang Tbk.,Pengembangan
RSGK,Kedoya Adyaraya Tbk.,Utama
RUIS,Radiant Utama Interinsco Tbk.,Pengembangan
RUNS,Global Sukses Solusi Tbk.,Akselerasi
SAFE,Steady Safe Tbk,Pengembangan
SAGE,Saptausaha Gemilangindah Tbk.,Pemantauan Khusus
SAME,Sarana Meditama Metropolitan T,Utama
SAMF,Saraswanti Anugerah Makmur Tbk,Utama
SAPX,Satria Antaran Prima Tbk.,Pengembangan
SATU,Kota Satu Properti Tbk.,Pengembangan
SBAT,Sejahtera Bintang Abadi Textil,Pemantauan Khusus
SBMA,Surya Biru Murni Acetylene Tbk,Pengembangan
SCCO,Supreme Cable Manufacturing &,Pengembangan
SCMA,Surya Citra Media Tbk.,Utama
SCNP,Selaras Citra Nusantara Perkas,Pengembangan
SCPI,Organon Pharma Indonesia Tbk.,Pemantauan Khusus
SDMU,Sidomulyo Selaras Tbk.,Pemantauan Khusus
SDPC,Millennium Pharmacon Internati,Pengembangan
SDRA,Bank Woori Saudara Indonesia 1,Utama
SEMA,Semacom Integrated Tbk.,Pengembangan
SFAN,Surya Fajar Capital Tbk.,Pengembangan
SGER,Sumber Global Energy Tbk.,Pengembangan
SGRO,Sampoerna Agro Tbk.,Utama
SHID,Hotel Sahid Jaya International,Pengembangan
SHIP,Sillo Maritime Perdana Tbk.,Utama
SICO,Sigma Energy Compressindo Tbk.,Pengembangan
SIDO,Industri Jamu dan Farmasi Sido,Utama
SILO,Siloam International Hospitals,Utama
SIMA,Siwani Makmur Tbk,Pemantauan Khusus
SIMP,Salim Ivomas Pratama Tbk.,Utama
SINI,Singaraja Putra Tbk.,Pemantauan Khusus
SIPD,Sreeya Sewu Indonesia Tbk.,Pengembangan
SKBM,Sekar Bumi Tbk.,Pengembangan
SKLT,Sekar Laut Tbk.,Pengembangan
SKRN,Superkrane Mitra Utama Tbk.,Pengembangan
SKYB,Northcliff Citranusa Indonesia,Pemantauan Khusus
SLIS,Gaya Abadi Sempurna Tbk.,Pengembangan
SMAR,Smart Tbk.,Pengembangan
SMBR,Semen Baturaja Tbk.,Utama
SMCB,Solusi Bangun Indonesia Tbk.,Pemantauan Khusus
SMDM,Suryamas Dutamakmur Tbk.,Pengembangan
SMDR,Samudera Indonesia  Tbk.,Utama
SMGA,Sumber Mineral Global Abadi Tb,Pengembangan
SMGR,Semen Indonesia (Persero) Tbk.,Utama
SMIL,Sarana Mitra Luas Tbk.,Utama
SMKL,Satyamitra Kemas Lestari Tbk.,Pengembangan
SMKM,Sumber Mas Konstruksi Tbk.,Akselerasi
SMLE,Sinergi Multi Lestarindo Tbk.,Pengembangan
SMMA,Sinarmas Multiartha Tbk.,Utama
SMMT,Golden Eagle Energy Tbk.,Pemantauan Khusus
SMRA,Summarecon Agung Tbk.,Utama
SMRU,SMR Utama Tbk.,Pemantauan Khusus
SMSM,Selamat Sempurna Tbk.,Utama
SNLK,Sunter Lakeside Hotel Tbk.,Pengembangan
SOCI,Soechi Lines Tbk.,Utama
SOFA,Boston Furniture Industries Tb,Akselerasi
SOHO,Soho Global Health Tbk.,Pengembangan
SOLA,Xolare RCR Energy Tbk.,Pengembangan
SONA,Sona Topas Tourism Industry Tb,Pengembangan
SOSS,Shield On Service Tbk.,Pemantauan Khusus
SOTS,Satria Mega Kencana Tbk.,Pengembangan
SOUL,Mitra Tirta Buwana Tbk.,Akselerasi
SPMA,Suparma Tbk.,Pengembangan
SPRE,Soraya Berjaya Indonesia Tbk.,Akselerasi
SPTO,Surya Pertiwi Tbk.,Utama
SQMI,Wilton Makmur Indonesia Tbk.,Pemantauan Khusus
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Utama
SRIL,Sri Rejeki Isman Tbk.,Pemantauan Khusus
SRSN,Indo Acidatama Tbk,Pengembangan
SRTG,Saratoga Investama Sedaya Tbk.,Utama
SSIA,Surya Semesta Internusa Tbk.,Utama
SSMS,Sawit Sumbermas Sarana Tbk.,Utama
SSTM,Sunson Textile Manufacture Tbk,Pengembangan
STAA,Sumber Tani Agung Resources Tb,Utama
STAR,Buana Artha Anugerah Tbk.,Pengembangan
STRK,Lovina Beach Brewery Tbk.,Pengembangan
STTP,Siantar Top Tbk.,Pengembangan
SUGI,Sugih Energy Tbk.,Pemantauan Khusus
SULI,SLJ Global Tbk.,Pengembangan
SUNI,Sunindo Pratama Tbk.,Utama
SUPR,Solusi Tunas Pratama Tbk.,Pemantauan Khusus
SURE,Super Energy Tbk.,Pengembangan
SURI,Maja Agung Latexindo Tbk.,Pengembangan
SWAT,Sriwahana Adityakarta Tbk.,Pemantauan Khusus
SWID,Saraswanti Indoland Developmen,Pengembangan
TALF,Tunas Alfin Tbk.,Pengembangan
TAMA,Lancartama Sejati Tbk.,Pemantauan Khusus
TAMU,Pelayaran Tamarin Samudra Tbk.,Pemantauan Khusus
TAPG,Triputra Agro Persada Tbk.,Utama
TARA,Agung Semesta Sejahtera Tbk.,Pemantauan Khusus
TAXI,Express Transindo Utama Tbk.,Pemantauan Khusus
TAYS,Jaya Swarasa Agung Tbk.,Pengembangan
TBIG,Tower Bersama Infrastructure T,Utama
TBLA,Tunas Baru Lampung Tbk.,Utama
TBMS,Tembaga Mulia Semanan Tbk.,Pengembangan
TCID,Mandom Indonesia Tbk.,Pengembangan
TCPI,Transcoal Pacific Tbk.,Pengembangan
TDPM,Tianrong Chemicals Industry Tb,Pemantauan Khusus
TEBE,Dana Brata Luhur Tbk.,Utama
TECH,Indosterling Technomedia Tbk.,Pengembangan
TELE,Omni Inovasi Indonesia Tbk.,Pemantauan Khusus
TFAS,Telefast Indonesia Tbk.,Pengembangan
TFCO,Tifico Fiber Indonesia Tbk.,Pemantauan Khusus
TGKA,Tigaraksa Satria Tbk.,Pengembangan
TGRA,Terregra Asia Energy Tbk.,Pemantauan Khusus
TGUK,Platinum Wahab Nusantara Tbk.,Pengembangan
TIFA,KDB Tifa Finance Tbk.,Pemantauan Khusus
TINS,Timah Tbk.,Utama
TIRA,Tira Austenite Tbk,Pengembangan
TIRT,Tirta Mahakam Resources Tbk,Pemantauan Khusus
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Utama
TLDN,Teladan Prima Agro Tbk.,Pengembangan
TLKM,Telkom Indonesia (Persero) Tbk,Utama
TMAS,Temas Tbk.,Utama
TMPO,Tempo Intimedia Tbk.,Pengembangan
TNCA,Trimuda Nuansa Citra Tbk.,Pengembangan
TOBA,TBS Energi Utama Tbk.,Utama
TOOL,Rohartindo Nusantara Luas Tbk.,Pengembangan
TOPS,Totalindo Eka Persada Tbk.,Pemantauan Khusus
TOSK,Topindo Solusi Komunika Tbk.,Pengembangan
TOTL,Total Bangun Persada Tbk.,Utama
TOTO,Surya Toto Indonesia Tbk.,Pengembangan
TOWR,Sarana Menara Nusantara Tbk.,Utama
TOYS,Sunindo Adipersada Tbk.,Pemantauan Khusus
TPIA,Chandra Asri Pacific Tbk.,Pengembangan
TPMA,Trans Power Marine Tbk.,Utama
TRAM,Trada Alam Minera Tbk.,Pemantauan Khusus
TRGU,Cerestar Indonesia Tbk.,Utama
TRIL,Triwira Insanlestari Tbk.,Pemantauan Khusus
TRIM,Trimegah Sekuritas Indonesia T,Utama
TRIN,Perintis Triniti Properti Tbk.,Pengembangan
TRIO,Trikomsel Oke Tbk.,Pemantauan Khusus
TRIS,Trisula International Tbk.,Pengembangan
TRJA,Transkon Jaya Tbk.,Pengembangan
TRON,Teknologi Karya Digital Nusa T,Pengembangan
TRST,Trias Sentosa Tbk.,Pengembangan
TRUE,Triniti Dinamik Tbk.,Pemantauan Khusus
TRUK,Guna Timur Raya Tbk.,Pengembangan
TRUS,Trust Finance Indonesia Tbk,Pengembangan
TSPC,Tempo Scan Pacific Tbk.,Utama
TUGU,Asuransi Tugu Pratama Indonesi,Utama
TYRE,King Tire Indonesia Tbk.,Pengembangan
UANG,Pakuan Tbk.,Pengembangan
UCID,Uni-Charm Indonesia Tbk.,Utama
UDNG,Agro Bahari Nusantara Tbk.,Akselerasi
UFOE,Damai Sejahtera Abadi Tbk.,Pengembangan
ULTJ,Ultrajaya Milk Industry & Trad,Utama
UNIC,Unggul Indah Cahaya Tbk.,Utama
UNIQ,Ulima Nitra Tbk.,Utama
UNIT,Nusantara Inti Corpora Tbk,Pengembangan
UNSP,Bakrie Sumatera Plantations Tb,Pemantauan Khusus
UNTD,Terang Dunia Internusa Tbk.,Pengembangan
UNTR,United Tractors Tbk.,Utama
UNVR,Unilever Indonesia Tbk.,Utama
URBN,Urban Jakarta Propertindo Tbk.,Pengembangan
UVCR,Trimegah Karya Pratama Tbk.,Pengembangan
VAST,Vastland Indonesia Tbk.,Pengembangan
VERN,Verona Indah Pictures Tbk.,Pengembangan
VICI,Victoria Care Indonesia Tbk.,Utama
VICO,Victoria Investama Tbk.,Pengembangan
VINS,Victoria Insurance Tbk.,Pengembangan
VISI,Satu Visi Putra Tbk.,Pengembangan
VIVA,Visi Media Asia Tbk.,Pemantauan Khusus
VKTR,VKTR Teknologi Mobilitas Tbk.,Pengembangan
VOKS,Voksel Electric Tbk.,Pengembangan
VRNA,Mizuho Leasing Indonesia Tbk.,Pengembangan
VTNY,Venteny Fortuna International,Utama
WAPO,Wahana Pronatural Tbk.,Pengembangan
WEGE,Wijaya Karya Bangunan Gedung T,Utama
WEHA,WEHA Transportasi Indonesia Tb,Pengembangan
WGSH,Wira Global Solusi Tbk.,Akselerasi
WICO,Wicaksana Overseas Internation,Pemantauan Khusus
WIDI,Widiant Jaya Krenindo Tbk.,Akselerasi
WIFI,Solusi Sinergi Digital Tbk.,Pengembangan
WIIM,Wismilak Inti Makmur Tbk.,Utama
WIKA,Wijaya Karya (Persero) Tbk.,Pengembangan
WINE,Hatten Bali Tbk.,Pengembangan
WINR,Winner Nusantara Jaya Tbk.,Pemantauan Khusus
WINS,Wintermar Offshore Marine Tbk.,Utama
WIRG,WIR ASIA Tbk.,Pengembangan
WMPP,Widodo Makmur Perkasa Tbk.,Pemantauan Khusus
WMUU,Widodo Makmur Unggas Tbk.,Pemantauan Khusus
WOMF,Wahana Ottomitra Multiartha Tb,Pengembangan
WOOD,Integra Indocabinet Tbk.,Utama
WOWS,Ginting Jaya Energi Tbk.,Pemantauan Khusus
WSBP,Waskita Beton Precast Tbk.,Pemantauan Khusus
WSKT,Waskita Karya (Persero) Tbk.,Pemantauan Khusus
WTON,Wijaya Karya Beton Tbk.,Utama
YELO,Yelooo Integra Datanet Tbk.,Pemantauan Khusus
YOII,Asuransi Digital Bersama Tbk.,Pengembangan
YPAS,Yanaprima Hastapersada Tbk,Pemantauan Khusus
YULE,Yulie Sekuritas Indonesia Tbk.,Pengembangan
ZATA,Bersama Zatta Jaya Tbk.,Pemantauan Khusus
ZBRA,Dosni Roha Indonesia Tbk.,Pengembangan
ZINC,Kapuas Prima Coal Tbk.,Pemantauan Khusus
ZONE,Mega Perintis Tbk.,Pengembangan
ZYRX,Zyrexindo Mandiri Buana Tbk.,Pengembangan
